"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8882","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-15","passed","2026-09-15","","e2e/discount-flow.spec.ts","",""
"","7611","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-15","passed","2026-09-15","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","12508","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-15","passed","2026-09-15","","e2e/discount-flow.spec.ts","",""
"","1330","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-15","passed","2026-09-15","Store API","api/store-api.spec.ts","",""
"","8045","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-15","passed","2026-09-15","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","7028","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-15","passed","2026-09-15","","e2e/discount-flow.spec.ts","",""
"","6259","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-15","passed","2026-09-15","","api/cart-mutation.spec.ts","",""
"","15115","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-15","passed","2026-09-15","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","17416","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-15","passed","2026-09-15","","e2e/cart-quantity.spec.ts","",""
"","6063","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-15","passed","2026-09-15","","e2e/discount-flow.spec.ts","",""
"","13761","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-15","passed","2026-09-15","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","672","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-15","passed","2026-09-15","Store API","api/store-api.spec.ts","",""
"","800","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-15","passed","2026-09-15","Store API","api/store-api.spec.ts","",""
"","6776","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-15","passed","2026-09-15","","api/cart-mutation.spec.ts","",""
"","749","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-15","passed","2026-09-15","Store API","api/store-api.spec.ts","",""
"","6048","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-15","passed","2026-09-15","","api/cart-mutation.spec.ts","",""
"","14953","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-15","passed","2026-09-15","","e2e/cart-quantity.spec.ts","",""
"","15702","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-15","passed","2026-09-15","","e2e/cart-quantity.spec.ts","",""
"","608","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-15","passed","2026-09-15","Store API","api/store-api.spec.ts","",""
"","1010","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-15","passed","2026-09-15","","api/contract.spec.ts","",""
"","7895","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-15","passed","2026-09-15","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","8913","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-15","passed","2026-09-15","","e2e/discount-flow.spec.ts","",""
"","699","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-15","passed","2026-09-15","Store API","api/store-api.spec.ts","",""
"","6482","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-15","passed","2026-09-15","","api/cart-mutation.spec.ts","",""
"","7867","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-15","passed","2026-09-15","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","882","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-15","passed","2026-09-15","","api/contract.spec.ts","",""
"","7446","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-15","passed","2026-09-15","","api/cart-mutation.spec.ts","",""
