"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7340","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
"","4534","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","5408","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","1049","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","547","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","1135","[ENV-HEALTH-CHECK-001] Confirmar que o ambiente está acessível","health-check","2026-09-12","passed","2026-09-12","","support/healthCheck.setup.ts","",""
"","12593","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","13018","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","617","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","8875","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
"","14859","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","6417","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","7976","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","8731","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
"","13893","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/cart-quantity.spec.ts","",""
"","6484","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
"","8182","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","1183","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","7146","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","8479","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
"","5470","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
"","765","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","14545","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","13981","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/cart-quantity.spec.ts","",""
"","6794","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","1211","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-12","passed","2026-09-12","","api/contract.spec.ts","",""
"","17584","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/cart-quantity.spec.ts","",""
"","6798","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","686","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","6115","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
"","6102","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","5806","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","894","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","515","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","1013","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-12","passed","2026-09-12","","api/contract.spec.ts","",""
"","1258","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-12","passed","2026-09-12","","api/contract.spec.ts","",""
"","1228","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-12","passed","2026-09-12","","api/contract.spec.ts","",""
"","918","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","5447","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","14386","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","5897","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","10923","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
"","13984","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/cart-quantity.spec.ts","",""
"","4929","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","6875","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-12","passed","2026-09-12","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","17465","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/cart-quantity.spec.ts","",""
"","1131","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-12","passed","2026-09-12","Store API","api/store-api.spec.ts","",""
"","5828","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-12","passed","2026-09-12","","api/cart-mutation.spec.ts","",""
"","5586","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
"","1183","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-12","passed","2026-09-12","","api/contract.spec.ts","",""
"","8306","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-12","passed","2026-09-12","","e2e/discount-flow.spec.ts","",""
