"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17486","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-25","failed","2026-09-25","","e2e/cart-quantity.spec.ts","",""
"","1075","[ENV-HEALTH-CHECK-001] Confirmar que o ambiente está acessível","health-check","2026-09-25","passed","2026-09-25","","support/healthCheck.setup.ts","",""
"","7410","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-25","passed","2026-09-25","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","4457","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-25","passed","2026-09-25","","api/cart-mutation.spec.ts","",""
"","4649","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-25","passed","2026-09-25","","api/cart-mutation.spec.ts","",""
"","14244","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-25","passed","2026-09-25","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","17264","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-25","failed","2026-09-25","","e2e/cart-quantity.spec.ts","",""
"","8976","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-25","passed","2026-09-25","","e2e/discount-flow.spec.ts","",""
"","594","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-25","passed","2026-09-25","Store API","api/store-api.spec.ts","",""
"","14118","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-25","passed","2026-09-25","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","1007","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-25","passed","2026-09-25","","api/contract.spec.ts","",""
"","947","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-25","passed","2026-09-25","Store API","api/store-api.spec.ts","",""
"","4910","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-25","failed","2026-09-25","","api/cart-mutation.spec.ts","",""
"","837","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-25","passed","2026-09-25","Store API","api/store-api.spec.ts","",""
"","1194","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-25","passed","2026-09-25","","api/contract.spec.ts","",""
"","5359","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-25","passed","2026-09-25","","e2e/discount-flow.spec.ts","",""
