"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7589","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-21","passed","2026-09-21","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","11581","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-21","passed","2026-09-21","","e2e/discount-flow.spec.ts","",""
"","5786","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-21","passed","2026-09-21","","api/cart-mutation.spec.ts","",""
"","1218","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-21","passed","2026-09-21","Store API","api/store-api.spec.ts","",""
"","653","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-21","passed","2026-09-21","Store API","api/store-api.spec.ts","",""
"","15983","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-21","passed","2026-09-21","","e2e/cart-quantity.spec.ts","",""
"","10559","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-21","passed","2026-09-21","","e2e/discount-flow.spec.ts","",""
"","1328","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-21","passed","2026-09-21","","api/contract.spec.ts","",""
"","1124","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-21","passed","2026-09-21","","api/contract.spec.ts","",""
"","7751","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-21","passed","2026-09-21","","e2e/discount-flow.spec.ts","",""
"","10926","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-21","passed","2026-09-21","","e2e/discount-flow.spec.ts","",""
"","568","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-21","passed","2026-09-21","Store API","api/store-api.spec.ts","",""
"","6555","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-21","passed","2026-09-21","","api/cart-mutation.spec.ts","",""
"","8193","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-21","passed","2026-09-21","","e2e/discount-flow.spec.ts","",""
"","7376","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-21","passed","2026-09-21","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","585","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-21","passed","2026-09-21","Store API","api/store-api.spec.ts","",""
"","5417","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-21","passed","2026-09-21","","api/cart-mutation.spec.ts","",""
"","15690","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-21","passed","2026-09-21","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","19174","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-21","passed","2026-09-21","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","795","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-21","passed","2026-09-21","","api/contract.spec.ts","",""
"","5016","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-21","passed","2026-09-21","","api/cart-mutation.spec.ts","",""
"","620","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-21","passed","2026-09-21","Store API","api/store-api.spec.ts","",""
"","1181","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-21","passed","2026-09-21","Store API","api/store-api.spec.ts","",""
"","14728","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-21","passed","2026-09-21","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","5761","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-21","passed","2026-09-21","","api/cart-mutation.spec.ts","",""
"","14683","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-21","passed","2026-09-21","","e2e/cart-quantity.spec.ts","",""
"","15628","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-21","passed","2026-09-21","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","8820","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-21","passed","2026-09-21","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","1843","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-21","passed","2026-09-21","","api/contract.spec.ts","",""
"","4507","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-21","passed","2026-09-21","","api/cart-mutation.spec.ts","",""
"","7902","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-21","passed","2026-09-21","","e2e/discount-flow.spec.ts","",""
"","5970","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-21","passed","2026-09-21","","api/cart-mutation.spec.ts","",""
"","967","[ENV-HEALTH-CHECK-001] Confirmar que o ambiente está acessível","health-check","2026-09-21","passed","2026-09-21","","support/healthCheck.setup.ts","",""
