"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16058","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","14705","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/cart-quantity.spec.ts","",""
"","895","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-16","passed","2026-09-16","","api/contract.spec.ts","",""
"","6364","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
"","1030","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-16","passed","2026-09-16","Store API","api/store-api.spec.ts","",""
"","9551","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
"","18338","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","892","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-16","passed","2026-09-16","Store API","api/store-api.spec.ts","",""
"","14316","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","15066","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","5529","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-16","passed","2026-09-16","","api/cart-mutation.spec.ts","",""
"","7863","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
"","5037","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-16","passed","2026-09-16","","api/cart-mutation.spec.ts","",""
"","566","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-16","passed","2026-09-16","Store API","api/store-api.spec.ts","",""
"","1507","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-16","passed","2026-09-16","Store API","api/store-api.spec.ts","",""
"","5172","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-16","passed","2026-09-16","","api/cart-mutation.spec.ts","",""
"","8529","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","9360","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
"","10515","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
"","8013","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","7732","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","6729","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
"","5316","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-16","passed","2026-09-16","","api/cart-mutation.spec.ts","",""
"","8092","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","5428","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-16","passed","2026-09-16","","api/cart-mutation.spec.ts","",""
"","6125","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-16","passed","2026-09-16","","api/cart-mutation.spec.ts","",""
"","11842","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
"","9633","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
"","15477","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/cart-quantity.spec.ts","",""
"","932","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-16","passed","2026-09-16","","api/contract.spec.ts","",""
"","5433","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-16","passed","2026-09-16","","api/cart-mutation.spec.ts","",""
"","830","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-16","passed","2026-09-16","Store API","api/store-api.spec.ts","",""
"","17084","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/cart-quantity.spec.ts","",""
"","1259","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-16","passed","2026-09-16","","api/contract.spec.ts","",""
"","16620","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/cart-quantity.spec.ts","",""
"","812","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-16","passed","2026-09-16","Store API","api/store-api.spec.ts","",""
"","5332","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-16","passed","2026-09-16","","api/cart-mutation.spec.ts","",""
"","1381","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-16","passed","2026-09-16","","api/contract.spec.ts","",""
"","932","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-16","passed","2026-09-16","Store API","api/store-api.spec.ts","",""
"","9630","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","5912","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
"","1171","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-16","passed","2026-09-16","","api/contract.spec.ts","",""
"","15082","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-16","passed","2026-09-16","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","5173","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-16","passed","2026-09-16","","api/cart-mutation.spec.ts","",""
"","6915","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-16","passed","2026-09-16","","e2e/discount-flow.spec.ts","",""
