"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5027","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-23","failed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","660","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
"","9524","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","5079","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-23","passed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","1421","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-23","passed","2026-09-23","","api/contract.spec.ts","",""
"","5878","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-23","passed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","1003","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
"","4341","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-23","failed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","9143","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","573","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
"","1459","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-23","passed","2026-09-23","","api/contract.spec.ts","",""
"","4697","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-23","failed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","17534","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-23","failed","2026-09-23","","e2e/cart-quantity.spec.ts","",""
"","14716","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","979","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
"","7528","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","940","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
"","7343","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","7910","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","6188","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-23","passed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","1271","[ENV-HEALTH-CHECK-001] Confirmar que o ambiente está acessível","health-check","2026-09-23","passed","2026-09-23","","support/healthCheck.setup.ts","",""
"","10831","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","15540","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","9203","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","7437","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","16792","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-23","failed","2026-09-23","","e2e/cart-quantity.spec.ts","",""
"","953","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
"","4940","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-23","failed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","15513","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-23","failed","2026-09-23","","e2e/cart-quantity.spec.ts","",""
"","8109","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","15241","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","7304","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","7420","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","17438","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-23","failed","2026-09-23","","e2e/cart-quantity.spec.ts","",""
"","868","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
"","1061","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
"","12312","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","17097","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-23","failed","2026-09-23","","e2e/cart-quantity.spec.ts","",""
"","7008","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-23","passed","2026-09-23","","e2e/discount-flow.spec.ts","",""
"","923","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
"","8823","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","5156","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-23","passed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","1039","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-23","passed","2026-09-23","","api/contract.spec.ts","",""
"","14390","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","14599","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","4979","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-23","passed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","1205","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-23","passed","2026-09-23","","api/contract.spec.ts","",""
"","4942","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-23","failed","2026-09-23","","api/cart-mutation.spec.ts","",""
"","7263","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-23","passed","2026-09-23","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","1313","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-23","passed","2026-09-23","","api/contract.spec.ts","",""
"","1002","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-23","passed","2026-09-23","Store API","api/store-api.spec.ts","",""
