"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","496","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","7204","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","5813","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-20","passed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","5336","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-20","passed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","5713","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-20","passed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","14821","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","11431","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","5341","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-20","passed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","1357","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-20","passed","2026-09-20","","api/contract.spec.ts","",""
"","7370","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","6844","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","7041","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","6949","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","1259","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-20","passed","2026-09-20","","api/contract.spec.ts","",""
"","492","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","14655","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","5770","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-20","passed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","14508","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","4403","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-20","passed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","10333","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","565","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","4795","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-20","passed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","16023","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","11501","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/cart-quantity.spec.ts","",""
"","819","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","8676","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","4678","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-20","passed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","14574","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/cart-quantity.spec.ts","",""
"","11195","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","7134","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","580","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","6399","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","545","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","1074","[ENV-HEALTH-CHECK-001] Confirmar que o ambiente está acessível","health-check","2026-09-20","passed","2026-09-20","","support/healthCheck.setup.ts","",""
"","4353","[API-WC-CART-SOLD-INDIVIDUALLY-001] Rejeitar atualização para quantidade > 1 em produto sold_individually","chromium-api","2026-09-20","passed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","6447","[E2E-PURCHASE-002] Validar produto sem controle de compra","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","15441","[E2E-PURCHASE-001] Comprar produto autenticado até o checkout","chromium-e2e","2026-09-20","passed","2026-09-20","Purchase flow","e2e/purchase-flow.spec.ts","",""
"","590","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","2110","[API-WC-CART-UPDATE-ITEM-001] Atualizar quantidade de uma variação no carrinho","chromium-api","2026-09-20","failed","2026-09-20","","api/cart-mutation.spec.ts","",""
"","959","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","14869","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/cart-quantity.spec.ts","",""
"","8640","[E2E-DISCOUNT-002] Validar preço promocional cobrado no carrinho","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","723","[API-WC-STORE-CART-001] Consultar um carrinho novo","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","1474","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-20","passed","2026-09-20","","api/contract.spec.ts","",""
"","12692","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/cart-quantity.spec.ts","",""
"","541","[API-WC-STORE-PRODUCTS-001] Consultar produtos disponíveis","chromium-api","2026-09-20","passed","2026-09-20","Store API","api/store-api.spec.ts","",""
"","14766","[E2E-CART-QUANTITY-001] Alterar quantidade do item no carrinho pela UI","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/cart-quantity.spec.ts","",""
"","987","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-20","passed","2026-09-20","","api/contract.spec.ts","",""
"","6277","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","7271","[E2E-DISCOUNT-001] Validar desconto aplicado no card do produto","chromium-e2e","2026-09-20","passed","2026-09-20","","e2e/discount-flow.spec.ts","",""
"","1441","[API-WC-STORE-PRODUCTS-CONTRACT-001] Resposta real respeita o schema declarado pela própria API","chromium-api","2026-09-20","passed","2026-09-20","","api/contract.spec.ts","",""
